category,name,model,finish,snap,size,package,base_price,finish_charge,snap_charge,size_charge,package_charge,total_price
"Belt Keepers","Belt Keeper","=""72-1-1""",Leather,Chrome,,Single,11.00,4.00,0.00,,0.00,15.00
"Belt Keepers","Belt Keeper","=""72-1-1-4P""",Leather,Chrome,,"4 Pack",11.00,4.00,0.00,,10.00,25.00
"Belt Keepers","Belt Keeper","=""72-1-2""",Leather,Black,,Single,11.00,4.00,0.00,,0.00,15.00
"Belt Keepers","Belt Keeper","=""72-1-2-4P""",Leather,Black,,"4 Pack",11.00,4.00,0.00,,10.00,25.00
"Belt Keepers","Belt Keeper","=""72-1-3""",Leather,Brass,,Single,11.00,4.00,0.00,,0.00,15.00
"Belt Keepers","Belt Keeper","=""72-1-3-4P""",Leather,Brass,,"4 Pack",11.00,4.00,0.00,,10.00,25.00
"Belt Keepers","Belt Keeper","=""72-1-4""",Leather,"Flat Dark Earth Brown",,Single,11.00,4.00,0.00,,0.00,15.00
"Belt Keepers","Belt Keeper","=""72-1-4-4P""",Leather,"Flat Dark Earth Brown",,"4 Pack",11.00,4.00,0.00,,10.00,25.00
"Belt Keepers","Belt Keeper","=""72-1-5""",Leather,"Foilage Green",,Single,11.00,4.00,0.00,,0.00,15.00
"Belt Keepers","Belt Keeper","=""72-1-5-4P""",Leather,"Foilage Green",,"4 Pack",11.00,4.00,0.00,,10.00,25.00
"Belt Keepers","Belt Keeper","=""72-1-6""",Leather,"OD Green",,Single,11.00,4.00,0.00,,0.00,15.00
"Belt Keepers","Belt Keeper","=""72-1-6-4P""",Leather,"OD Green",,"4 Pack",11.00,4.00,0.00,,10.00,25.00
"Belt Keepers","Belt Keeper","=""72-1-7""",Leather,"Coyote Brown",,Single,11.00,4.00,0.00,,0.00,15.00
"Belt Keepers","Belt Keeper","=""72-1-7-4P""",Leather,"Coyote Brown",,"4 Pack",11.00,4.00,0.00,,10.00,25.00
"Belt Keepers","Belt Keeper","=""72-1-HS""",Leather,Hidden,,Single,11.00,4.00,0.00,,0.00,15.00
"Belt Keepers","Belt Keeper","=""72-1-HS-4P""",Leather,Hidden,,"4 Pack",11.00,4.00,0.00,,10.00,25.00
"Belt Keepers","Belt Keeper","=""72-2-1""",Basketweave,Chrome,,Single,11.00,4.00,0.00,,0.00,15.00
